,day,edges,num_infected,num_new_infections,num_new_removed,Average deaths,0-49 deaths,50-59 deaths,60-69 deaths,70-79 deaths,80-89 deaths,90+ deaths
84,84,0,0,0,0,0.013814046623494242,0.0001586233165672457,0.0008038344817167849,0.000986037055294315,0.0035211552703150037,0.005487529571457013,0.003088655053062355
85,85,0,0,0,0,0.011837432060044426,0.00013592633528615753,0.0006888159801531475,0.0008449476803474315,0.003017322687642556,0.004702333809206155,0.002646707756535015
86,86,0,0,0,0,0.01013426323101545,0.00011636926445109536,0.0005897091890532645,0.0007233766720384991,0.002583190527673441,0.0040257623765757805,0.0022658996448082286
87,87,0,0,0,0,0.008668356788937251,9.953661953846959e-05,0.0005044086122397219,0.0006187412881513889,0.0022095357735673104,0.003443441701892932,0.0019381405555967408
88,88,0,0,0,0,0.007408027802100963,8.506457023194716e-05,0.0004310705147554437,0.0005287798802632365,0.0018882820399378209,0.0029427851764352838,0.0016563461183974114
89,89,0,0,0,0,0.006325581959744937,7.263510953887859e-05,0.000368083374463264,0.00045151564770323896,0.0016123701376165897,0.0025127914366337256,0.0014143242176624627
90,90,0,0,0,0,0.005396855727872823,6.197077351209803e-05,0.00031404112387580586,0.0003852238141942736,0.0013756408608763104,0.002143861694314892,0.0012066721771586512
91,91,0,0,0,0,0.004600801731789678,5.2829880299057964e-05,0.0002677190237120662,0.00032840203274624283,0.0011727293027962741,0.0018276350329285557,0.0010286840564778517
92,92,0,0,0,0,0.003919116396710839,4.500225443007067e-05,0.00022805199543629034,0.00027974380690130683,0.000998969942072316,0.001556840490487124,0.0008762673959456041
93,93,0,0,0,0,0.0033359067547951253,3.830540084501555e-05,0.00019411523287721292,0.00023811470765128852,0.0008503117132201397,0.0013251647010824263,0.0007458687186721367
94,94,0,0,0,0,0.002837393298534009,3.2581092831529436e-05,0.00016510691137198733,0.00020253116331893527,0.0007232422648767863,0.0011271338555552705,0.0006344070921360161
95,95,0,0,0,0,0.002411645803934183,2.7692338547266184e-05,0.00014033281541071978,0.00017214160280013953,0.0006147206219945371,0.0009580087591757049,0.0005392150614179551
96,96,0,0,0,0,0.0020483491436907725,2.3520691909878684e-05,0.0001191927113879397,0.0001462097394708654,0.0005221174923852675,0.0008136918026289768,0.0004579862878366439
97,97,0,0,0,0,0.0017385962452564577,1.9963875185197637e-05,0.0001011682999059523,0.00012409979267789643,0.0004431624924099276,0.0006906447161140146,0.0003887292568575596
98,98,0,0,0,0,0.0014747055090535042,1.6933682445244628e-05,8.581259140524471e-05,0.00010526345517759703,0.0003758976074783828,0.0005858160400558061,0.00032972645499620127
99,99,0,0,0,0,0.001250060178200771,1.4354135090119717e-05,7.274055914577734e-05,8.922842745857111e-05,0.0003186362479185817,0.0004965773158974899,0.00027949845481665286
100,100,0,0,0,0,0.0010589673353062095,1.2159862742678364e-05,6.162093428026618e-05,7.558835303062548e-05,0.0002699273077204733,0.0004206670736014894,0.00023677238830645858
101,101,0,0,0,0,0.0008965343881412362,1.0294684963758805e-05,5.2169018599308476e-05,6.39940020579766e-05,0.00022852368113867225,0.0003561417664817978,0.00020045433055561533
102,102,0,0,0,0,0.0007585610898447918,8.71037134661192e-06,4.41404012252907e-05,5.4145563836399415e-05,0.00019335473899589713,0.00030133287701522376,0.00016960515676998374
103,103,0,0,0,0,0.000641445317385376,7.36555959404029e-06,3.732547589445649e-05,4.578592132527612e-05,0.00016350231192133332,0.000254809488020572,0.00014341947546608078
