,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,50-59 deaths,60-69 deaths,70-79 deaths,80-89 deaths,90+ deaths
139,139,9078,472,0,0,5.450530221425211e-09,2.9797841030931263e-08,3.5524543338790156e-08,1.4609540211719975e-07,1.9942384206456888e-07,2.05682228993586e-08
140,140,9078,472,0,0,4.552374207851415e-09,2.4885227169700365e-08,2.9676074550764937e-08,1.2202366373466664e-07,1.665539129506757e-07,1.716109495102138e-08
141,141,9078,472,0,0,3.801010599906618e-09,2.0775961844129647e-08,2.4782488463771072e-08,1.0188573270512523e-07,1.390576630754228e-07,1.4314061652556503e-08
142,142,9078,472,0,0,3.1726675866712616e-09,1.7339868716963434e-08,2.0689326780469325e-08,8.504463634098869e-08,1.1606459676127953e-07,1.1935831513208916e-08
143,143,9078,472,0,0,2.647383172530809e-09,1.4467648981344734e-08,1.7266853582876168e-08,7.096547369275373e-08,9.684377886576203e-08,9.949850872850313e-09
144,144,9078,472,0,0,2.208401798836455e-09,1.2067572252768935e-08,1.4406145725821945e-08,5.9199252517620657e-08,8.07817230272638e-08,8.291950235994666e-09
145,145,9078,472,0,0,1.8416652390664589e-09,1.0062684902099184e-08,1.2015793044249411e-08,4.9369250801834605e-08,6.736373616694526e-08,6.908362277067488e-09
146,146,9078,472,0,0,1.53538325023392e-09,8.388456173750651e-09,1.0019114629319154e-08,4.115951487790086e-08,5.615818693451908e-08,5.7540528831430866e-09
147,147,9078,472,0,0,1.2796716709986888e-09,6.99079438998778e-09,8.351811685886964e-09,3.4305163874664165e-08,4.6803246585434946e-08,4.791316894570652e-09
148,148,9078,472,0,0,1.0662475606182832e-09,5.824376104931125e-09,6.959989788578246e-09,2.858422226281114e-08,3.899572057739109e-08,3.9885971147062216e-09
149,149,9078,472,0,0,8.881724936784186e-10,4.851239392615395e-09,5.798493003967446e-09,2.381074207720954e-08,3.248164503362249e-08,3.3194914588702383e-09
