,day,edges,num_infected,num_new_infections,num_new_removed,0-49 deaths,0-49 cases,50-59 deaths,50-59 cases,60-69 deaths,60-69 cases,70-79 deaths,70-79 cases,80-89 deaths,80-89 cases,90+ deaths,90+ cases
101,101,9846,100,0,0,7.436755590769086e-08,0,3.9278125494517987e-07,0,3.6959114986215895e-07,0,1.2418970552797508e-06,0,2.0269716446629772e-06,0,2.2198004319724085e-06,0
102,102,9846,100,0,0,6.27264541375557e-08,0,3.3114678534529085e-07,0,3.117084874035166e-07,0,1.047514286257169e-06,0,1.7095530728245257e-06,0,1.8753649462043452e-06,0
103,103,9846,100,0,0,5.288029229931255e-08,0,2.7904281175517013e-07,0,2.627559026494364e-07,0,8.831001121133159e-07,0,1.441099537725956e-06,0,1.5834947151150349e-06,0
104,104,9846,100,0,0,4.4557196466649194e-08,0,2.3502090960614214e-07,0,2.2137986299819036e-07,0,7.441159027252337e-07,0,1.2141905609280305e-06,0,1.3363247953666313e-06,0
105,105,9846,100,0,0,3.752559816234972e-08,0,1.978482603451614e-07,0,1.864276624403066e-07,0,6.266957641809505e-07,0,1.0225064323612138e-06,0,1.127138923793839e-06,0
106,106,9846,100,0,0,3.158841552618187e-08,0,1.664763666754923e-07,0,1.569183990744478e-07,0,5.275494395678883e-07,0,8.606691764237173e-07,0,9.502067766678274e-07,0
107,107,9846,100,0,0,2.6578046487929408e-08,0,1.400141621778578e-07,0,1.320180079632906e-07,0,4.438787554085622e-07,0,7.241057311530446e-07,0,8.00643383910684e-07,0
108,108,9846,100,0,0,2.235206568446892e-08,0,1.177049241818302e-07,0,1.110178076450831e-07,0,3.7330580852128577e-07,0,6.089303757036379e-07,0,6.742878451634326e-07,0
109,109,9846,100,0,0,1.8789530372281635e-08,0,9.890647351564645e-08,0,9.331608647629145e-08,0,3.138113133883938e-07,0,5.11843811500529e-07,0,5.675988319078677e-07,0
110,110,9846,100,0,0,1.5787812593508646e-08,0,8.307421099855845e-08,0,7.840231514263627e-08,0,2.6368173017439627e-07,0,4.300466317926514e-07,0,4.775646632876113e-07,0
111,111,9846,100,0,0,1.3259885459574255e-08,0,6.974659889505439e-08,0,6.58436247913429e-08,0,2.214639700908837e-07,0,3.611652056575121e-07,0,4.016260149364602e-07,0
112,112,9846,100,0,0,1.1132000799951622e-08,0,5.8532747076680696e-08,0,5.527323730429165e-08,0,1.8592663159494573e-07,0,3.031882586649646e-07,0,3.3760956128009184e-07,0
113,113,9846,100,0,0,9.341703665763066e-09,0,4.910180876370041e-08,0,4.638057540582764e-08,0,1.5602685794610934e-07,0,2.544126596109211e-07,0,2.8367106705568766e-07,0
114,114,9846,100,0,0,7.836136415118185e-09,0,4.117393021943373e-08,0,3.89028165919666e-08,0,1.3088202749745423e-07,0,2.1339711945520546e-07,0,2.3824663409288725e-07,0
115,115,9846,100,0,0,6.5705914697146705e-09,0,3.451253360766325e-08,0,3.2617686634829536e-08,0,1.0974559429438365e-07,0,1.7892268436180272e-07,0,2.0001097653636638e-07,0
116,116,9846,100,0,0,5.507277351456025e-09,0,2.8917742069416618e-08,0,2.7337316050540282e-08,0,9.198648824660709e-08,0,1.4995905443656937e-07,0,1.6784174686634853e-07,0
